Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS735J	MSP430G2513	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2553	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS753E	MSP430G2210	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819			20	1	15
SLAS753E	MSP430G2230	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819			20	1	15
SLAS800	MSP430G2755	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS800	MSP430G2855	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS800	MSP430G2955	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS887C	MSP430I2020	SLAU335	2.2	3.6	257	476	25		20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2021	SLAU335	2.2	3.6	257	476	25		20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2030	SLAU335	2.2	3.6	257	476	25		20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2031	SLAU335	2.2	3.6	257	476	25		20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2040	SLAU335	2.2	3.6	257	476	25		20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2041	SLAU335	2.2	3.6	257	476	25		20	11	6	10593	9628		10	20	1	15
SLAS892C	MSP430G2444	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS892C	MSP430G2544	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS892C	MSP430G2744	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS895	MSP430TCH5E	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS340J	MSP430C412	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430C413	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F412	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F413	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F415	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F417	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F435	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F4351	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F436	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F4361	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F437	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
